Country Name,ISO2,ISO3,Top Level Domain,FIPS,ISO Numeric,GeoNameID,E164,Phone Code,Continent,Capital,Time Zone in Capital,Currency,Language Codes,Languages,Area KM2,Internet Hosts,Internet Users,Phones (Mobile),Phones (Landline),GDP
Albania,AL,ALB,al,AL,8,783754.0,355,355,Europe,Tirana,Europe/Tirane,Lek,"sq,el","Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Roma, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)",28748,15528.0,1300000.0,3500000.0,312000.0,12800000000.0
Andorra,AD,AND,ad,AN,20,3041565.0,376,376,Europe,Andorra la Vella,Europe/Andorra,Euro,ca,"Catalan (official), French, Castilian, Portuguese",468,28383.0,67100.0,65000.0,39000.0,4800000000.0
Austria,AT,AUT,at,AU,40,2782113.0,43,43,Europe,Vienna,Europe/Vienna,Euro,"de-AT,hr,hu,sl","German (official nationwide) 88.6%, Turkish 2.3%, Serbian 2.2%, Croatian (official in Burgenland) 1.6%, other (includes Slovene, official in Carinthia, and Hungarian, official in Burgenland) 5.3% (2001 census)",83858,3512000.0,6143000.0,13590000.0,3342000.0,417900000000.0
Belarus,BY,BLR,by,BO,112,630336.0,375,375,Europe,Minsk,Europe/Minsk,Ruble,"be,ru","Belarusian (official) 23.4%, Russian (official) 70.2%, other 3.1% (includes small Polish- and Ukrainian-speaking minorities), unspecified 3.3% (2009 est.)",207600,295217.0,2643000.0,10675000.0,4407000.0,69240000000.0
Belgium,BE,BEL,be,BE,56,2802361.0,32,32,Europe,Brussels,Europe/Brussels,Euro,"nl-BE,fr-BE,de-BE","Dutch (official) 60%, French (official) 40%, German (official) less than 1%, legally bilingual (Dutch and French)",30510,5192000.0,8113000.0,12880000.0,4631000.0,507400000000.0
Bosnia and Herzegovina,BA,BIH,ba,BK,70,3277605.0,387,387,Europe,Sarajevo,Europe/Belgrade,Marka,"bs,hr-BA,sr-BA","Bosnian (official), Croatian (official), Serbian (official)",51129,155252.0,1422000.0,3350000.0,878000.0,18870000000.0
Bulgaria,BG,BGR,bg,BU,100,732800.0,359,359,Europe,Sofia,Europe/Sofia,Lev,"bg,tr-BG","Bulgarian (official) 76.8%, Turkish 8.2%, Roma 3.8%, other 0.7%, unspecified 10.5% (2011 est.)",110910,976277.0,3395000.0,10780000.0,2253000.0,53700000000.0
Croatia,HR,HRV,hr,HR,191,3202326.0,385,385,Europe,Zagreb,Europe/Belgrade,Kuna,"hr-HR,sr","Croatian (official) 95.6%, Serbian 1.2%, other 3% (including Hungarian, Czech, Slovak, and Albanian), unspecified 0.2% (2011 est.)",56542,729420.0,2234000.0,4970000.0,1640000.0,59140000000.0
Cyprus,CY,CYP,cy,CY,196,146669.0,357,357,Europe,Nicosia,Asia/Nicosia,Euro,"el-CY,tr-CY,en","Greek (official) 80.9%, Turkish (official) 0.2%, English 4.1%, Romanian 2.9%, Russian 2.5%, Bulgarian 2.2%, Arabic 1.2%, Filippino 1.1%, other 4.3%, unspecified 0.6% (2011 est.)",9250,252013.0,433900.0,1110000.0,373200.0,21780000000.0
Czech Republic,CZ,CZE,cz,EZ,203,3077311.0,420,420,Europe,Prague,Europe/Prague,Koruna,"cs,sk","Czech 95.4%, Slovak 1.6%, other 3% (2011 census)",78866,4148000.0,6681000.0,12973000.0,2100000.0,194800000000.0
Denmark,DK,DNK,dk,DA,208,2623032.0,45,45,Europe,Copenhagen,Europe/Copenhagen,Krone,"da-DK,en,fo,de-DK","Danish, Faroese, Greenlandic (an Inuit dialect), German (small minority)",43094,4297000.0,4750000.0,6600000.0,2431000.0,324300000000.0
Estonia,EE,EST,ee,EN,233,453733.0,372,372,Europe,Tallinn,Europe/Tallinn,Euro,"et,ru","Estonian (official) 68.5%, Russian 29.6%, Ukrainian 0.6%, other 1.2%, unspecified 0.1% (2011 est.)",45226,865494.0,971700.0,2070000.0,448200.0,24280000000.0
Faroe Islands,FO,FRO,fo,FO,234,2622320.0,298,298,Europe,Torshavn,Atlantic/Faroe,Krone,"fo,da-FO","Faroese (derived from Old Norse), Danish",1399,7575.0,37500.0,61000.0,24000.0,2320000000.0
Finland,FI,FIN,fi,FI,246,660013.0,358,358,Europe,Helsinki,Europe/Helsinki,Euro,"fi-FI,sv-FI,smn","Finnish (official) 94.2%, Swedish (official) 5.5%, other (small Sami- and Russian-speaking minorities) 0.2% (2012 est.)",337030,4763000.0,4393000.0,9320000.0,890000.0,259600000000.0
France,FR,FRA,fr,FR,250,3017382.0,33,33,Europe,Paris,Europe/Paris,Euro,"fr-FR,frp,br,co,ca,eu,oc","French (official) 100%, rapidly declining regional dialects and languages (Provencal, Breton, Alsatian, Corsican, Catalan, Basque, Flemish)",547030,17266000.0,45262000.0,62280000.0,39290000.0,2739000000000.0
Germany,DE,DEU,de,GM,276,2921044.0,49,49,Europe,Berlin,Europe/Berlin,Euro,de,German (official),357021,20043000.0,65125000.0,107700000.0,50700000.0,3593000000000.0
Gibraltar,GI,GIB,gi,GI,292,2411586.0,350,350,Europe,Gibraltar,Europe/Gibraltar,Pound,"en-GI,es,it,pt","English (used in schools and for official purposes), Spanish, Italian, Portuguese",7,3509.0,20200.0,34750.0,23100.0,1106000000.0
Greece,GR,GRC,gr,GR,300,390903.0,30,30,Europe,Athens,Europe/Athens,Euro,"el-GR,en,fr","Greek (official) 99%, other (includes English and French) 1%",131940,3201000.0,4971000.0,13354000.0,5461000.0,243300000000.0
Guernsey,GG,GGY,gg,GK,831,3042362.0,44,44-1481,Europe,St Peter Port,Europe/London,Pound,"en,fr","English, French, Norman-French dialect spoken in country districts",78,239.0,48300.0,43800.0,45100.0,2742000000.0
Hungary,HU,HUN,hu,HU,348,719819.0,36,36,Europe,Budapest,Europe/Budapest,Forint,hu-HU,"Hungarian (official) 99.6%, English 16%, German 11.2%, Russian 1.6%, Romanian 1.3%, French 1.2%, other 4.2%",93030,3145000.0,6176000.0,11580000.0,2960000.0,130600000000.0
Iceland,IS,ISL,is,IC,352,2629691.0,354,354,Europe,Reykjavik,Atlantic/Reykjavik,Krona,"is,en,de,da,sv,no","Icelandic, English, Nordic languages, German widely spoken",103000,369969.0,301600.0,346000.0,189000.0,14590000000.0
Ireland,IE,IRL,ie,EI,372,2963597.0,353,353,Europe,Dublin,Europe/Dublin,Euro,"en-IE,ga-IE","English (official, the language generally used), Irish (Gaelic or Gaeilge) (official, spoken mainly in areas along the western coast)",70280,1387000.0,3042000.0,4906000.0,2007000.0,220900000000.0
Isle of Man,IM,IMN,im,IM,833,3042225.0,44,44-1624,Europe,"Douglas, Isle of Man",Europe/London,Pound,"en,gv","English, Manx Gaelic (about 2% of the population has some knowledge)",572,895.0,,,,4076000000.0
Italy,IT,ITA,it,IT,380,3175395.0,39,39,Europe,Rome,Europe/Rome,Euro,"it-IT,de-IT,fr-IT,sc,ca,co,sl","Italian (official), German (parts of Trentino-Alto Adige region are predominantly German-speaking), French (small French-speaking minority in Valle d'Aosta region), Slovene (Slovene-speaking minority in the Trieste-Gorizia area)",301230,25662000.0,29235000.0,97225000.0,21656000.0,2068000000000.0
Jersey,JE,JEY,je,JE,832,3042142.0,44,44-1534,Europe,Saint Helier,Europe/London,Pound,"en,pt","English 94.5% (official), Portuguese 4.6%, other 0.9% (2001 census)",116,264.0,29500.0,108000.0,73800.0,5100000000.0
Kosovo,XK,XKX,,KV,0,831053.0,383,383,Europe,Pristina,Europe/Belgrade,Euro,"sq,sr","Albanian (official), Serbian (official), Bosnian, Turkish, Roma",10887,,,562000.0,106300.0,7150000000.0
Latvia,LV,LVA,lv,LG,428,458258.0,371,371,Europe,Riga,Europe/Riga,Euro,"lv,ru,lt","Latvian (official) 56.3%, Russian 33.8%, other 0.6% (includes Polish, Ukrainian, and Belarusian), unspecified 9.4% (2011 est.)",64589,359604.0,1504000.0,2310000.0,501000.0,30380000000.0
Liechtenstein,LI,LIE,li,LS,438,3042058.0,423,423,Europe,Vaduz,Europe/Zurich,Franc,de-LI,"German 94.5% (official) (Alemannic is the main dialect), Italian 1.1%, other 4.3% (2010 est.)",160,14278.0,23000.0,38000.0,20000.0,5113000000.0
Lithuania,LT,LTU,lt,LH,440,597427.0,370,370,Europe,Vilnius,Europe/Vilnius,Euro,"lt,ru,pl","Lithuanian (official) 82%, Russian 8%, Polish 5.6%, other 0.9%, unspecified 3.5% (2011 est.)",65200,1205000.0,1964000.0,5000000.0,667300.0,46710000000.0
Luxembourg,LU,LUX,lu,LU,442,2960313.0,352,352,Europe,Luxembourg,Europe/Luxembourg,Euro,"lb,de-LU,fr-LU","Luxembourgish (official administrative language and national language (spoken vernacular)), French (official administrative language), German (official administrative language)",2586,250900.0,424500.0,761300.0,266700.0,60540000000.0
Macedonia,MK,MKD,mk,MK,807,718075.0,389,389,Europe,Skopje,Europe/Belgrade,Denar,"mk,sq,tr,rmm,sr","Macedonian (official) 66.5%, Albanian (official) 25.1%, Turkish 3.5%, Roma 1.9%, Serbian 1.2%, other 1.8% (2002 census)",25333,62826.0,1057000.0,2235000.0,407900.0,10650000000.0
Malta,MT,MLT,mt,MT,470,2562770.0,356,356,Europe,Valletta,Europe/Malta,Euro,"mt,en-MT","Maltese (official) 90.1%, English (official) 6%, multilingual 3%, other 0.9% (2005 est.)",316,14754.0,240600.0,539500.0,229700.0,9541000000.0
Moldova,MD,MDA,md,MD,498,617790.0,373,373,Europe,Chisinau,Europe/Chisinau,Leu,"ro,ru,gag,tr","Moldovan 58.8% (official; virtually the same as the Romanian language), Romanian 16.4%, Russian 16%, Ukrainian 3.8%, Gagauz 3.1% (a Turkish language), Bulgarian 1.1%, other 0.3%, unspecified 0.4%",33843,711564.0,1333000.0,4080000.0,1206000.0,7932000000.0
Monaco,MC,MCO,mc,MN,492,2993457.0,377,377,Europe,Monaco,Europe/Monaco,Euro,"fr-MC,en,it","French (official), English, Italian, Monegasque",2,26009.0,23000.0,33200.0,44500.0,5748000000.0
Montenegro,ME,MNE,me,MJ,499,3194884.0,382,382,Europe,Podgorica,Europe/Belgrade,Euro,"sr,hu,bs,sq,hr,rom","Serbian 42.9%, Montenegrin (official) 37%, Bosnian 5.3%, Albanian 5.3%, Serbo-Croat 2%, other 3.5%, unspecified 4% (2011 est.)",14026,10088.0,280000.0,1126000.0,163000.0,4518000000.0
Netherlands,NL,NLD,nl,NL,528,2750405.0,31,31,Europe,Amsterdam,Europe/Amsterdam,Euro,"nl-NL,fy-NL",Dutch (official),41526,13699000.0,14872000.0,19643000.0,7086000.0,722300000000.0
Norway,NO,NOR,no,NO,578,3144096.0,47,47,Europe,Oslo,Europe/Oslo,Krone,"no,nb,nn,se,fi","Bokmal Norwegian (official), Nynorsk Norwegian (official), small Sami- and Finnish-speaking minorities",324220,3588000.0,4431000.0,5732000.0,1465000.0,515800000000.0
Poland,PL,POL,pl,PL,616,798544.0,48,48,Europe,Warsaw,Europe/Warsaw,Zloty,pl,"Polish (official) 96.2%, Polish and non-Polish 2%, non-Polish 0.5%, unspecified 1.3%",312685,13265000.0,22452000.0,50840000.0,6125000.0,513900000000.0
Portugal,PT,PRT,pt,PO,620,2264397.0,351,351,Europe,Lisbon,Europe/Lisbon,Euro,"pt-PT,mwl","Portuguese (official), Mirandese (official, but locally used)",92391,3748000.0,5168000.0,12312000.0,4558000.0,219300000000.0
Romania,RO,ROU,ro,RO,642,798549.0,40,40,Europe,Bucharest,Europe/Bucharest,Leu,"ro,hu,rom","Romanian (official) 85.4%, Hungarian 6.3%, Romany (Gypsy) 1.2%, other 1%, unspecified 6.1% (2011 est.)",237500,2667000.0,7787000.0,22700000.0,4680000.0,188900000000.0
Russia,RU,RUS,ru,RS,643,2017370.0,7,7,Europe,Moscow,Europe/Moscow,Ruble,"ru,tt,xal,cau,ady,kv,ce,tyv,cv,udm,tut,mns,bua,myv,mdf,chm,ba,inh,tut,kbd,krc,ava,sah,nog","Russian (official) 96.3%, Dolgang 5.3%, German 1.5%, Chechen 1%, Tatar 3%, other 10.3%",17100000,14865000.0,40853000.0,261900000.0,42900000.0,2113000000000.0
San Marino,SM,SMR,sm,SM,674,3168068.0,378,378,Europe,San Marino,Europe/Rome,Euro,it-SM,Italian,61,11015.0,17000.0,36000.0,18700.0,1866000000.0
Serbia,RS,SRB,rs,RI,688,6290252.0,381,381,Europe,Belgrade,Europe/Belgrade,Dinar,"sr,hu,bs,rom","Serbian (official) 88.1%, Hungarian 3.4%, Bosnian 1.9%, Romany 1.4%, other 3.4%, undeclared or unknown 1.8%",88361,1102000.0,4107000.0,9138000.0,2977000.0,43680000000.0
Slovakia,SK,SVK,sk,LO,703,3057568.0,421,421,Europe,Bratislava,Europe/Prague,Euro,"sk,hu","Slovak (official) 78.6%, Hungarian 9.4%, Roma 2.3%, Ruthenian 1%, other or unspecified 8.8% (2011 est.)",48845,1384000.0,4063000.0,6095000.0,975000.0,96960000000.0
Slovenia,SI,SVN,si,SI,705,3190538.0,386,386,Europe,Ljubljana,Europe/Belgrade,Euro,"sl,sh","Slovenian (official) 91.1%, Serbo-Croatian 4.5%, other or unspecified 4.4%, Italian (official, only in municipalities where Italian national communities reside), Hungarian (official, only in municipalities where Hungarian national communities reside) (2002 census)",20273,415581.0,1298000.0,2246000.0,825000.0,46820000000.0
Spain,ES,ESP,es,SP,724,2510769.0,34,34,Europe,Madrid,Europe/Madrid,Euro,"es-ES,ca,gl,eu,oc","Castilian Spanish (official) 74%, Catalan 17%, Galician 7%, and Basque 2%",504782,4228000.0,28119000.0,50663000.0,19220000.0,1356000000000.0
Svalbard and Jan Mayen,SJ,SJM,sj,SV,744,607072.0,47,47,Europe,Longyearbyen,Europe/Oslo,Krone,"no,ru","Norwegian, Russian",62049,,,,,
Sweden,SE,SWE,se,SW,752,2661886.0,46,46,Europe,Stockholm,Europe/Stockholm,Krona,"sv-SE,se,sma,fi-SE","Swedish (official), small Sami- and Finnish-speaking minorities",449964,5978000.0,8398000.0,11643000.0,4321000.0,552000000000.0
Switzerland,CH,CHE,ch,SZ,756,2658434.0,41,41,Europe,Berne,Europe/Zurich,Franc,"de-CH,fr-CH,it-CH,rm","German (official) 64.9%, French (official) 22.6%, Italian (official) 8.3%, Serbo-Croatian 2.5%, Albanian 2.6%, Portuguese 3.4%, Spanish 2.2%, English 4.6%, Romansch (official) 0.5%, other 5.1%",41290,5301000.0,6152000.0,10460000.0,4382000.0,646200000000.0
Ukraine,UA,UKR,ua,UP,804,690791.0,380,380,Europe,Kiev,Europe/Kiev,Hryvnia,"uk,ru-UA,rom,pl,hu","Ukrainian (official) 67%, Russian (regional language) 24%, other (includes small Romanian-, Polish-, and Hungarian-speaking minorities) 9%",603700,2173000.0,7770000.0,59344000.0,12182000.0,175500000000.0
United Kingdom,GB,GBR,uk,UK,826,2635167.0,44,44,Europe,London,Europe/London,Pound,"en-GB,cy-GB,gd",English,244820,8107000.0,51444000.0,82109000.0,33010000.0,2490000000000.0
Vatican,VA,VAT,va,VT,336,3164670.0,39,379,Europe,Vatican City,Europe/Rome,Euro,"la,it,fr","Latin, Italian, French",0,,,,,
